ip.src;ip.dst;ipv6.src;ipv6.dst;tcp.srcport;tcp.dstport;udp.srcport;udp.dstport;frame.len;tcp.len;udp.length;tcp.flags.syn;tcp.flags.ack;tcp.flags.fin;tcp.flags.reset;tcp.flags.push;tcp.flags.urg;tcp.flags.cwr;tcp.flags.ece
0;0;2620:2d:4002:1::197;2804:14d:4ca6:9cd0:7e0f:6dfb:dc1c:10dc;80.0;54636.0;0.0;0.0;505.0;79.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0;0;2620:2d:4002:1::198;2804:14d:4ca6:9cd0:7e0f:6dfb:dc1c:10dc;80.0;43004.0;0.0;0.0;505.0;79.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0;0;2620:2d:4002:1::198;2804:14d:4ca6:9cd0:7e0f:6dfb:dc1c:10dc;80.0;46420.0;0.0;0.0;505.0;79.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0;0;2800:3f0:4001:800::2003;2804:14d:4ca6:9cd0:7e0f:6dfb:dc1c:10dc;0.0;0.0;443.0;41508.0;37888.0;0.0;34216.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0;0;2800:3f0:4001:800::2003;2804:14d:4ca6:9cd0:7e0f:6dfb:dc1c:10dc;0.0;0.0;443.0;42277.0;5394.0;0.0;4908.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0;0;2800:3f0:4001:800::200a;2804:14d:4ca6:9cd0:7e0f:6dfb:dc1c:10dc;0.0;0.0;443.0;38187.0;7757.0;0.0;6785.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0;0;2800:3f0:4001:800::200a;2804:14d:4ca6:9cd0:7e0f:6dfb:dc1c:10dc;0.0;0.0;443.0;42881.0;8096.0;0.0;7232.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0;0;2800:3f0:4001:800::200a;2804:14d:4ca6:9cd0:7e0f:6dfb:dc1c:10dc;0.0;0.0;443.0;47586.0;20301.0;0.0;16089.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0;0;2800:3f0:4001:800::200a;2804:14d:4ca6:9cd0:7e0f:6dfb:dc1c:10dc;0.0;0.0;443.0;56713.0;7424.0;0.0;6614.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0;0;2800:3f0:4001:800::200a;2804:14d:4ca6:9cd0:7e0f:6dfb:dc1c:10dc;443.0;36800.0;0.0;0.0;13421.0;11521.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0;0;2800:3f0:4001:801::200a;2804:14d:4ca6:9cd0:7e0f:6dfb:dc1c:10dc;0.0;0.0;443.0;45932.0;35545.0;0.0;25717.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0;0;2800:3f0:4001:807::200e;2804:14d:4ca6:9cd0:7e0f:6dfb:dc1c:10dc;0.0;0.0;443.0;56372.0;17589.0;0.0;16401.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0;0;2800:3f0:4001:807::200e;2804:14d:4ca6:9cd0:7e0f:6dfb:dc1c:10dc;443.0;57938.0;0.0;0.0;2733.0;1951.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
